#
# com-youtube.ungraph - clustering coefficient. G(1134890, 2987624). Average clustering: 0.0808  OpenTriads: 1465313402 (0.9979)  ClosedTriads: 3056386 (0.0021) (Mon Mar 12 12:41:55 2018)
#
# Node degree	Average clustering coefficient
295	0.00766875
296	0.016346
297	0.0303508
298	0.0257486
299	0.0236787
300	0.0133244
301	0.0312514
302	0.0253592
303	0.0146788
304	0.0191832
305	0.0310181
306	0.0319726
307	0.0313598
308	0.0365075
309	0.0192884
310	0.00906497
311	0.00985894
312	0.019927
313	0.0131584
314	0.0151256
315	0.0192768
316	0.0468689
317	0.00578006
318	0.0316053
319	0.0201659
320	0.0253069
321	0.0405374
322	0.0136607
323	0.0318571
324	0.0204009
325	0.0143906
326	0.0243763
327	0.011353
328	0.0200688
329	0.0203314
330	0.0272709
331	0.0632793
332	0.0133768
333	0.0160027
334	0.0173752
335	0.0260166
336	0.0159515
337	0.027337
338	0.0174705
339	0.0221326
340	0.020406
341	0.0131145
342	0.00948363
344	0.0117692
345	0.0404146
346	0.0254754
347	0.0185618
348	0.0578191
349	0.0181965
350	0.0391912
351	0.0198738
352	0.0177091
353	0.0127433
354	0.0355468
355	0.027421
356	0.0435314
357	0.0190728
358	0.0241616
359	0.0189851
360	0.00746673
361	0.0283087
362	0.0220903
363	0.0274417
364	0.0126464
365	0.00305585
366	0.0142189
367	0.000960379
368	0.0098685
369	0.00933781
370	0.0459313
371	0.0193657
372	0.025842
373	0.00416198
374	0.0114034
375	0.0104271
376	0.0262199
377	0.00480181
378	0.0149421
379	0.033519
380	0.0302134
381	0.0249482
382	0.0317228
383	0.0137976
384	0.0433756
385	0.0305736
386	0.0282888
387	0.0333775
388	0.0146967
389	0.0409191
390	0.0104542
391	0.000118041
392	0.0141448
393	0.0161552
394	0.00515364
395	0.0133736
396	0.0212473
398	0.0065314
399	0.0068513
400	0.0110777
401	0.00279925
402	0.0395818
403	0.0210513
404	0.0171732
405	0.0251436
406	0.0134829
407	0.0461868
408	0.0412692
409	0.0148197
410	0.0237343
411	0.0233498
412	0.0153033
413	0.00480735
414	0.0170486
415	0.00551772
416	0.0177479
417	0.00201185
418	0.0195098
419	0.00889564
420	0.00804637
421	0.0213381
422	0.0114037
423	0.0177959
424	0.0134902
425	0.0166149
427	0.00981847
428	0.00240758
429	0.0325414
430	0.0121917
431	0.0173798
432	0.0254254
433	0.0218081
434	0.017941
435	0.0273743
437	0.00704344
438	0.0137613
439	0.00210628
440	0.00644026
441	0.0198748
442	0.00503791
443	0.0136768
445	0.0241522
446	0.0102262
447	0.00833325
448	0.0212278
449	0.0194911
450	0.00784954
452	0.0563742
453	0.0155776
454	0.00754636
455	0.0101919
456	0.0408377
457	0.037655
458	0.0241035
459	0.0260011
460	0.0189416
461	0.00514005
462	0.0273826
463	0.015259
464	0.000335146
465	0.00603448
466	0.00724999
468	0.0165212
469	0.0112441
470	0.00767137
471	0.0121245
472	0.0150757
473	0.00669859
474	0.0234313
475	0.00187431
476	0.0140351
477	0.0175378
478	0.0133111
480	0.00862909
483	0.0122548
484	0.024695
485	0.000962767
486	0.0188933
488	0.0240936
489	0.0175752
490	0.0254998
491	0.00835862
492	0.012042
493	0.0222629
494	0.00560478
495	0.0274431
497	0.001075
499	0.0195069
500	0.0257114
501	0.0133313
502	0.0251767
503	0.0138729
504	0.0193719
505	0.0122977
506	0.0323641
508	0.0136281
510	0.00027736
511	0.00527608
512	0.0190191
513	0.0300774
514	0.00605275
515	0.0253435
516	0.00745842
517	0.0342277
518	0.0033233
519	0.00203837
520	0.0365681
521	0.0144102
522	0.0242975
523	0.0121169
524	0.00511947
525	0.00733188
526	0.00239001
528	0.00192628
529	0.0013032
530	0.0124336
531	0.0150339
532	0.0179333
533	0.000712381
534	0.0276226
535	0.0156043
536	0.0173711
537	0.00767809
538	0.00478356
539	0.000827638
540	0.0219852
541	0.00731156
542	0.01667
543	0.0045327
545	0.00976457
546	0.0258628
547	0.00129243
548	0.0419541
549	0.0256239
550	0.00332064
551	0.00871143
552	0.0151779
553	0.00562806
554	0.00776859
555	0.00238072
556	0.000751831
557	0.0188445
558	0.0170074
560	0.000210836
563	0.0111123
567	0.00445591
568	0.00809176
569	0.0312982
571	0.0134943
572	0.0462261
573	0.00803952
574	0.0248281
575	0.0144039
576	0.000320048
577	0.0281418
579	0.00263549
581	0.0178468
582	0.00760036
583	0.030863
584	0.0220371
585	0.00872263
586	0.0179458
588	0.007246
591	0.000240902
592	0.000651667
595	0.0109329
596	0.0101968
597	0.00840331
598	0.0178765
601	0.0235857
602	0.0195761
603	0.0027107
604	0.0243539
605	0.0121613
607	0.0114071
609	0.00185269
610	0.00253035
611	0.00343967
612	0.000256731
614	0.0286252
615	0.032711
617	0.0390663
618	0.0135377
620	0.0259159
624	0.0514775
625	0.0159231
626	0.00727412
627	0.0359336
628	0.0415587
629	0.00638462
632	0.000346045
633	0.00862129
634	0.00820289
636	0.00903779
640	0.00806925
643	0.0274431
644	0.00753214
646	0.0173471
648	0.0201691
649	0.00206871
650	0.0272135
651	0.00283587
652	0.00885377
654	0.0211726
656	0.00492925
657	0.000723911
658	0.00313204
659	0.00856506
660	0.0220513
661	0.00963646
662	0.0190547
663	0.0164181
667	0.00870886
668	0.00399501
671	0.00657517
672	0.0405889
673	0.00544824
674	0.0220546
676	0.00152531
678	0.0190542
680	0.0355713
681	0.000133886
682	0.0029627
684	0.00737202
685	0.00401531
686	0.000502224
688	0.0129312
689	0.0159145
690	0.0175596
692	0.0174414
697	0.00716536
699	0.00794832
702	0.0264457
704	0.0320906
705	0.0092259
706	0.014538
707	0.0160375
709	0.00348625
710	0.00823219
713	0.0174291
715	0.00677362
716	0.00549283
717	0.00234917
718	0.0240634
719	0.0115643
720	0.00566373
721	0.00817345
725	0.00560996
726	0.0297255
729	0.0193061
730	0.0160663
731	0.0121507
732	0.00980953
736	0.00104259
737	0.005774
739	0.0044886
741	0.00133859
743	0.0224449
744	0.0014472
747	0.0120697
748	0.0156717
749	0.00566174
751	0.0114668
753	0.0098542
754	0.00955682
755	0.00622669
756	0.00195172
760	0.00628597
761	0.0162563
763	0.00147229
764	0.00366424
765	0.00252541
766	0.00622878
768	0.000380269
771	0.0121852
772	0.000426739
776	0.0262088
778	0.0128766
781	0.00418431
784	0.00712852
785	0.00157286
788	0.0307665
790	0.00557668
793	0.0153426
794	0.00557989
795	0.00403973
803	0.0050807
804	0.00714464
808	0.00698406
812	0.0133813
814	0.000528875
815	0.00106721
817	0.0100649
819	0.0154461
820	0.0258733
821	0.00227415
824	0.000486617
825	0.0260753
833	0.00572537
834	0.0157559
836	0.000753517
838	0.00106073
839	0.0125391
841	0.00619444
844	0.00218976
845	0.0269048
847	0.0162359
848	0.0168547
850	0.0205113
852	0.000995791
853	0.00909246
854	0.0068171
855	0.00946629
856	0.00810105
858	0.0180007
860	0.00191678
862	0.0226791
864	0.00228263
866	0.00768132
869	0.0108048
870	0.0363531
871	0.00164694
872	0.00505851
873	0.0386598
874	0.00804978
877	0.00812494
882	0.000481312
883	0.0079609
887	0.00310479
889	0.00235106
892	0.00257181
894	0.000443419
897	0.00640279
899	0.0107395
916	0.0302455
918	0.00233545
922	0.00271797
924	0.0166664
925	0.00870949
926	0.000677135
928	0.0147038
932	0.000661525
933	0.0107089
947	0.000580447
948	0.0334189
953	0.00529509
957	0.0113347
964	0.00381545
967	0.000383248
969	0.00180172
971	0.00747237
972	0.00382385
973	0.0160369
980	0.00172396
981	0.0105993
987	0.0216588
988	0.0279176
990	0.00681639
996	0.000615527
1000	0.0124454
1003	0.0062328
1004	0.00904855
1007	0.00115099
1008	0.0102034
1012	0.00327231
1013	0.000239963
1015	0.00216088
1018	0.0256562
1019	0.00673645
1020	0.000996748
1022	0.00117685
1023	0.0114509
1024	0.0257209
1033	0.000596592
1037	0.00147068
1040	0.0204283
1043	0.00677398
1045	0.0203542
1046	0.0261886
1058	0.00669316
1059	0.00880561
1060	0.0253461
1061	0.0114328
1064	0.0114285
1079	0.0139447
1085	0.00404884
1086	0.0151488
1089	0.00446139
1095	0.00382827
1097	0.0146634
1098	0.00816766
1101	0.00624556
1103	0.00223117
1104	0.0335909
1107	0.00501004
1108	0.000342422
1113	0.00679026
1116	0.00248003
1130	0.0109816
1131	0.00120185
1132	0.0088925
1144	0.00429492
1145	2.90103e-005
1150	0.00813713
1152	0.000727025
1157	0.0111328
1158	0.00502909
1161	0.00399329
1163	0.0074071
1172	0.00185804
1174	0.00224675
1178	0.00538476
1183	0.0013545
1198	0.00580472
1208	0.00993789
1212	0.0061469
1229	0.00633046
1230	0.00798058
1239	0.00253083
1244	0.000195306
1246	0.00875541
1251	0.0128371
1254	0.00413426
1258	0.00134319
1276	0.0183269
1278	0.00301102
1282	0.0146531
1283	0.0100279
1287	0.0176221
1288	0.00474284
1297	0.0148717
1310	0.000470028
1315	0.00578155
1321	0.00090955
1333	0.00263129
1337	0.0064191
1341	0.00785112
1350	0.00166818
1365	0.00167574
1369	0.00319843
1379	0.00610021
1392	0.00815071
1406	0.00456458
1407	0.00763911
1416	0.000127767
1419	0.0106006
1421	0.00268805
1427	0.00120104
1436	0.000131997
1442	0.0095942
1455	0.0104378
1459	0.0101879
1478	0.00275308
1480	0.00131024
1481	0.0016917
1486	0.00748445
1491	0.00238928
1495	0.00506194
1511	0.00508939
1532	0.00514604
1533	0.00208639
1558	0.00651083
1565	0.00512653
1571	0.00539719
1582	0.00208065
1583	0.0104963
1586	0.00544114
1588	0.00231811
1589	0.00222801
1594	0.00047337
1622	0.00621847
1630	0.00218208
1648	0.00378299
1651	0.00849366
1666	0.00893475
1707	0.00360903
1718	0.0051678
1729	0.00964261
1730	0.00674719
1761	0.00243599
1762	0.00319445
1771	0.000858145
1808	0.00525121
1815	0.00348407
1816	0.00345991
1823	0.000659339
1841	0.000386132
1853	0.000629415
1860	0.000682527
1869	0.00299259
1883	0.0124521
1884	0.000391817
1898	0.00042494
1903	0.000901228
1924	0.000421638
1945	0.000270822
1951	0.00988789
1959	0.00259091
1965	0.0055705
1971	0.00511529
1992	0.00225059
2015	0.00728449
2020	0.00201305
2058	0.00773674
2067	7.77441e-005
2077	0.00218189
2083	0.00288
2088	0.000510825
2094	0.00469523
2100	0.00382268
2113	0.00245235
2126	0.00429373
2128	0.00192433
2135	0.00406269
2161	0.00391451
2164	0.00473345
2188	0.00676885
2197	0.00224142
2199	0.000467166
2202	0.00381917
2204	0.0069786
2211	0.00100362
2217	0.000846348
2252	0.001762
2257	0.00107624
2263	0.000300455
2325	0.00410231
2334	0.0050683
2355	0.00487258
2374	0.000270879
2378	0.00405802
2380	0.00846376
2400	0.00241559
2444	0.00446849
2464	0.00406371
2488	0.00391489
2504	0.00225033
2535	0.00347215
2591	0.00117425
2628	0.0158772
2634	0.00621168
2720	0.00327651
2742	0.00273663
2753	0.00422214
2763	0.000133658
2799	0.00365034
2800	0.00239014
2818	0.001978
2830	0.00291179
2837	0.00155536
2866	0.00403613
2924	0.0014747
2956	0.0014711
2992	0.000599615
3024	0.00524375
3035	0.00219891
3100	0.00210619
3114	0.00382674
3160	0.00226077
3394	0.00327028
3506	0.00296797
3621	0.00128135
3707	0.000851207
4044	0.000866672
4217	0.000779914
4253	0.00217422
4352	0.00434115
4364	0.00350502
4422	0.000611161
4877	0.00166912
4899	0.000679633
5393	0.00151986
6102	0.000735623
7917	0.000456607
8843	0.000146822
9762	0.0002389
10461	0.000891831
11281	6.94069e-005
14641	0.00122901
28754	0.000437416
